Middle East & North Africa,0.654770315,0.703910609,0.795690497,0.807447692,0.812701073
Middle East & North Africa (IDA & IBRD),0.544953675,0.623679006,0.703944205,0.685778618,0.682973122
Middle East & North Africa (excluding high income),0.544953675,0.623679006,0.703944205,0.685778618,0.682973122
Middle income,4.290969847,4.329991375,5.664002147,5.733983168,5.615465949
Moldova,13.89,19.95,15.54,11.87,11.43
Mongolia,3.11,5.28,9.65,10.97,8.19
Montenegro,12.49,12.49,15.07,10.92,11.47
Morocco,1.01,0.96,0.9,0.7,0.69
Mozambique,2.33,1.3,1.63,2.19,2.3
Myanmar,0.38,1.65,2.9,4.41,5.12
Namibia,3.26,2.7,1.99,5.23,5.43
Nauru,6.04,3.4,5.73,3.71,3.71
Nepal,1.12,1.95,1.94,2.05,2.05
Netherlands,11.08,10.71,10.21,9.55,9.61
New Zealand,10.42,10.92,11.32,10.44,10.63
Nicaragua,5.05,5.3,4.79,5.03,5.18
Niger,0.23,0.25,0.31,0.55,0.67
Nigeria,12.5,12.51,11.72,10.81,10.84
North America,9.19,9.49,9.43635355,9.722468478,9.772314908
North Korea,3.52,3.68,3.78,3.82,3.8
North Macedonia,7.31,7.03,5.93,5.93,6.16
Norway,7.95,8.87,8.94,7.52,7.41
OECD members,9.957316828,9.803268985,9.088672416,9.193022846,9.192062122
Oman,6.56,1.56,0.73,0.77,0.78
Other small states,5.888556312,6.101425064,5.586571973,5.438124583,5.115111992
Pacific island small states,2.568780045,2.436183842,2.395673977,2.398639645,2.471719194
Pakistan,0.085,0.16,0.19,0.29,0.34
Panama,5.48,5.49,6.84,7.71,7.98
Papua New Guinea,1.79,1.6,1.67,1.39,1.39
Paraguay,6.38,6.66,7.58,7.26,7.58
Peru,6.54,6.99,7.69,6.63,6.38
Philippines,6.06,5.67,6.98,6.7,6.86
Poland,9.17,10.6,11.21,11.63,11.71
Portugal,14.08,13.37,12.51,11.88,12.03
Post-demographic dividend,10.99473958,10.77708957,10.14117424,10.12890484,10.09703177
Pre-demographic dividend,6.21014486,6.030477416,5.966973126,5.582300116,5.567612589
Qatar,1.15,1.67,1.69,1.62,1.59
Romania,17.45,15.84,13.97,11.64,11.74
Russia,15.73,17.36,15.87,12.47,11.19
Rwanda,13.73,13,10.27,9.26,8.95
Saint Kitts and Nevis,9.51,11.53,9.45,8.88,8.94
Saint Lucia,11.8,11.62,9.69,9.96,10.6
Saint Vincent and the Grenadines,5.01,5.99,7.03,8.46,9.06
Samoa,3.79,4.2,2.97,2.59,2.66
Sao Tome and Principe,8.2,8.72,8.34,7.19,5.88
Saudi Arabia,0.18,0.17,0.17,0.2,0.19
Senegal,0.96,0.85,0.6,0.73,0.76
Serbia,9.71,9.71,11.69,8.7,8.75
Seychelles,7.62,6.13,10.19,18.35,20.5
Sierra Leone,5.8,5.57,5.83,5.63,5.7
Singapore,2.49,1.78,2.19,2.07,2.03
Slovakia,12.47,12.06,12,11.53,11.14
Slovenia,12.6,12.3,11.54,12.74,11.9
Small states,5.67410278,5.796114336,5.420583867,5.356661704,5.104703759
Solomon Islands,1.2,1.6,1.6,1.55,1.83
Somalia,0,0.068,0.28,0.013,0.009
South Africa,10.02,9.58,10.04,9.61,9.52
South Asia,1.867595303,1.916463078,3.453921327,4.343318398,4.333294381
South Asia (IDA & IBRD),1.867595303,1.916463078,3.453921327,4.343318398,4.333294381
South Korea,12.31,10.58,9.97,10.04,9.7
Spain,12.43,12.83,10.03,11.32,12.72
Sri Lanka,2.22,2.59,3.92,4.1,4.1
Sub-Saharan Africa,6.315086507,6.105786819,6.293373522,5.871126301,5.837510432
Sub-Saharan Africa (IDA & IBRD),6.315086507,6.105786819,6.293373522,5.871126301,5.837510432
Sub-Saharan Africa (excluding high income),6.314871687,6.105783085,6.29279117,5.869527096,5.835743457
Sudan,0.51,0.51,0.52,0.52,0.51
Suriname,5.29,5.41,6.22,5.81,5.33
Sweden,8.53,8.64,9.49,9.13,8.93
Switzerland,12.49,11.64,11.41,11.58,11.53
Syria,1.15,0.92,0.88,0.28,0.24
Tajikistan,2.97,2.51,2.4,3.11,3.28
Tanzania,8.63,8.71,9.74,11.05,11.27
Thailand,6.49,6.81,7.71,8.36,8.3
Timor,1.53,0.83,0.7,2.01,2.17
Togo,1.79,3.26,2.11,2.37,2.46
Tonga,1.7,2.32,1.39,0.68,0.8
Trinidad and Tobago,5.27,6.17,6.21,6.88,6.72
Tunisia,1.36,1.46,1.4,1.99,2.12
Turkey,2.41,2.12,2.32,2.12,2.05
Turkmenistan,4.82,4.88,4.82,5.3,4.93
Tuvalu,1.96,2.03,1.68,1.98,1.52
Uganda,13.61,12.92,13.5,15.14,15.09
Ukraine,12.46,12.01,13.57,10.16,8.32
United Arab Emirates,2.58,3.64,3.15,3.79,3.9
United Kingdom,13.73,13.89,12.06,11.21,11.45
United States,9.19,9.49,9.36,9.82,9.87
Upper middle income,5.781994494,5.89450622,7.532983407,7.179354123,6.963591804
Uruguay,8.09,7.46,7.1,6.99,6.92
Uzbekistan,5.68,4.15,3.01,2.59,2.59
Vanuatu,1.17,1.2,1.7,2.14,2.25
Venezuela,9.15,9.42,8.67,6.82,4.14
Vietnam,2.21,2.63,4.9,7.86,8.66
World,5.488338776,5.428839285,6.283777196,6.297859044,6.18140363
Yemen,0.79,0.34,0.18,0.055,0.051
Zambia,4.05,3.9,5.43,6.89,6.54
Zimbabwe,2.46,2.77,3.93,4.92,4.67
